time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
77.27007,0,2,0,0,270,90.00001
77.28676,0,2.031808,0,0,270,90.00001
77.30341,0,2.063546,0,0,270,90.00001
77.32008,0,2.095334,0,0,270,90.00001
77.33673,0,2.127072,0,0,270,90.00001
77.35342,0,2.158878,0,0,270,90.00001
77.37007,0,2.190616,0,0,270,90.00001
77.38676,0,2.222431,0,0,270,90.00001
77.40341,0,2.254169,0,0,270,90.00001
77.42008,0,2.285957,0,0,270,90.00001
77.43674,0,2.317695,0,0,270,90.00001
77.45343,0,2.349524,0,0,270,90.00001
77.47009,0,2.381262,0,0,270,90.00001
77.48673,0,2.413,0,0,270,90.00001
77.50342,0,2.444808,0,0,270,90.00001
77.52007,0,2.476546,0,0,270,90.00001
77.53675,0,2.508343,0,0,270,90.00001
77.5534,0,2.540082,0,0,270,90.00001
77.57008,0,2.571882,0,0,270,90.00001
77.58673,0,2.60362,0,0,270,90.00001
77.60342,0,2.635426,0,0,270,90.00001
77.62007,0,2.667164,0,0,270,90.00001
77.63675,0,2.698956,0,0,270,90.00001
77.6534,0,2.730694,0,0,270,90.00001
77.67008,0,2.762495,0,0,270,90.00001
77.68675,0,2.794272,0,0,270,90.00001
77.7034,0,2.82601,0,0,270,90.00001
77.72008,0,2.857799,0,0,270,90.00001
77.73675,0,2.889572,0,0,270,90.00001
77.7534,0,2.92131,0,0,270,90.00001
77.77008,0,2.953112,0,0,270,90.00001
77.78675,0,2.984897,0,0,270,90.00001
77.80341,0,3.016635,0,0,270,90.00001
77.82008,0,3.048425,0,0,270,90.00001
77.83673,0,3.080163,0,0,270,90.00001
77.85342,0,3.111968,0,0,270,90.00001
77.87006,0,3.143706,0,0,270,90.00001
77.88674,0,3.175493,0,0,270,90.00001
77.90342,0,3.20728,0,0,270,90.00001
77.92007,0,3.239018,0,0,270,90.00001
77.93674,0,3.270812,0,0,270,90.00001
77.95341,0,3.302588,0,0,270,90.00001
77.97007,0,3.334326,0,0,270,90.00001
77.98676,0,3.366142,0,0,270,90.00001
78.00341,0,3.39788,0,0,270,90.00001
78.02008,0,3.429667,0,0,270,90.00001
78.03674,0,3.461405,0,0,270,90.00001
78.05341,0,3.493201,0,0,270,90.00001
78.07006,0,3.524939,0,0,270,90.00001
78.08675,0,3.556739,0,0,270,90.00001
78.10339,0,3.588477,0,0,270,90.00001
78.12008,0,3.620277,0,0,270,90.00001
78.13675,0,3.652048,0,0,270,90.00001
78.1534,0,3.683786,0,0,270,90.00001
78.17007,0,3.715581,0,0,270,90.00001
78.18675,0,3.747363,0,0,270,90.00001
78.20342,0,3.77914,0,0,270,90.00001
78.22007,0,3.810878,0,0,270,90.00001
78.23674,0,3.842659,0,0,270,90.00001
78.25342,0,3.874439,0,0,270,90.00001
78.27007,0,3.906177,0,0,270,90.00001
78.28675,0,3.937978,0,0,270,90.00001
78.3034,0,3.969716,0,0,270,90.00001
78.32009,0,4.00154,0,0,270,90.00001
78.33675,0,4.033278,0,0,270,90.00001
78.35342,0,4.065068,0,0,270,90.00001
78.37007,0,4.096806,0,0,270,90.00001
78.38675,0,4.128598,0,0,270,90.00001
78.4034,0,4.160336,0,0,270,90.00001
78.42007,0,4.19212,0,0,270,90.00001
78.43674,0,4.223892,0,0,270,90.00001
78.45339,0,4.25563,0,0,270,90.00001
78.47009,0,4.287446,0,0,270,90.00001
78.48673,0,4.319184,0,0,270,90.00001
