time,distance,gaze
4.635968,1.600921,0.852193
4.936995,1.596597,0.850192
5.237257,1.600386,0.851813
5.538367,1.606107,0.854009
5.839418,1.610355,0.855973
6.139556,1.613661,0.858101
6.439657,1.612176,0.858353
6.74044,1.601962,0.854845
7.041545,1.598276,0.85336
7.341656,1.602458,0.853824
7.641882,1.609793,0.85544
7.942899,1.617907,0.858203
8.243653,1.618319,0.858671
8.543954,1.611799,0.85658
8.844268,1.603324,0.853213
9.144995,1.597086,0.850467
9.445859,1.598772,0.851117
9.746472,1.604413,0.853344
10.04722,1.609338,0.855447
10.3478,1.612569,0.857243
10.64829,1.614228,0.858998
10.94929,1.605027,0.855911
11.24949,1.598134,0.853489
11.5498,1.600769,0.853572
11.85039,1.607003,0.854617
12.151,1.616081,0.857524
12.45176,1.619075,0.858849
12.75216,1.614308,0.857445
13.05318,1.605885,0.85427
13.3535,1.598379,0.851061
13.65381,1.597409,0.850482
13.95382,1.602611,0.852667
14.25457,1.608066,0.854843
