experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,thrust,altitude,shuttle_movement_location_0
spaceshuttle_1,123,1,1,1,1,36.98936,41.98257,1.757849,10.79916,spaceshuttle_1/123/S001/trackers/shuttle_movement_T001.csv
spaceshuttle_1,123,1,2,1,2,43.98191,48.98263,1.194228,7.972001,spaceshuttle_1/123/S001/trackers/shuttle_movement_T002.csv
spaceshuttle_1,123,1,3,1,3,50.98259,55.98274,1.247957,8.23997,spaceshuttle_1/123/S001/trackers/shuttle_movement_T003.csv
