time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
36.98936,0,2.021847,0,0,270,90.00001
37.02467,0,2.083915,0,0,270,90.00001
37.02689,0,2.087811,0,0,270,90.00001
37.03989,0,2.110672,0,0,270,90.00001
37.05231,0,2.132506,0,0,270,90.00001
37.06479,0,2.154443,0,0,270,90.00001
37.07697,0,2.17585,0,0,270,90.00001
37.08917,0,2.197298,0,0,270,90.00001
37.10161,0,2.219168,0,0,270,90.00001
37.11393,0,2.240827,0,0,270,90.00001
37.12626,0,2.262492,0,0,270,90.00001
37.13863,0,2.284233,0,0,270,90.00001
37.15089,0,2.305793,0,0,270,90.00001
37.16332,0,2.327647,0,0,270,90.00001
37.17573,0,2.34946,0,0,270,90.00001
37.18792,0,2.370888,0,0,270,90.00001
37.20044,0,2.392888,0,0,270,90.00001
37.21288,0,2.414753,0,0,270,90.00001
37.22522,0,2.436453,0,0,270,90.00001
37.23775,0,2.458475,0,0,270,90.00001
37.25,0,2.480011,0,0,270,90.00001
37.26258,0,2.502136,0,0,270,90.00001
37.27504,0,2.524032,0,0,270,90.00001
37.2874,0,2.545755,0,0,270,90.00001
37.29987,0,2.567669,0,0,270,90.00001
37.31228,0,2.58949,0,0,270,90.00001
37.32478,0,2.611468,0,0,270,90.00001
37.33735,0,2.633562,0,0,270,90.00001
37.34966,0,2.6552,0,0,270,90.00001
37.36233,0,2.677466,0,0,270,90.00001
37.37489,0,2.699551,0,0,270,90.00001
37.38733,0,2.721416,0,0,270,90.00001
37.39986,0,2.743453,0,0,270,90.00001
37.41233,0,2.765363,0,0,270,90.00001
37.42491,0,2.787483,0,0,270,90.00001
37.43752,0,2.809634,0,0,270,90.00001
37.44986,0,2.831332,0,0,270,90.00001
37.46235,0,2.853299,0,0,270,90.00001
37.47525,0,2.875978,0,0,270,90.00001
37.48737,0,2.897269,0,0,270,90.00001
37.49979,0,2.919101,0,0,270,90.00001
37.51236,0,2.941192,0,0,270,90.00001
37.52495,0,2.963337,0,0,270,90.00001
37.53762,0,2.985612,0,0,270,90.00001
37.54991,0,3.007214,0,0,270,90.00001
37.56252,0,3.029367,0,0,270,90.00001
37.57496,0,3.051247,0,0,270,90.00001
37.58761,0,3.073485,0,0,270,90.00001
37.60001,0,3.09528,0,0,270,90.00001
37.61261,0,3.117423,0,0,270,90.00001
37.62493,0,3.139075,0,0,270,90.00001
37.63759,0,3.161332,0,0,270,90.00001
37.64999,0,3.18314,0,0,270,90.00001
37.6626,0,3.205301,0,0,270,90.00001
37.67505,0,3.227193,0,0,270,90.00001
37.6875,0,3.249068,0,0,270,90.00001
37.7002,0,3.2714,0,0,270,90.00001
37.71284,0,3.293618,0,0,270,90.00001
37.72503,0,3.315039,0,0,270,90.00001
37.73766,0,3.337245,0,0,270,90.00001
37.75003,0,3.358985,0,0,270,90.00001
37.76272,0,3.381301,0,0,270,90.00001
37.77516,0,3.403166,0,0,270,90.00001
37.78762,0,3.425071,0,0,270,90.00001
37.8002,0,3.447181,0,0,270,90.00001
37.81273,0,3.469202,0,0,270,90.00001
37.82518,0,3.49109,0,0,270,90.00001
37.83784,0,3.513355,0,0,270,90.00001
37.85021,0,3.535096,0,0,270,90.00001
37.8628,0,3.557231,0,0,270,90.00001
37.87538,0,3.579332,0,0,270,90.00001
37.88771,0,3.601018,0,0,270,90.00001
37.9003,0,3.62313,0,0,270,90.00001
37.91278,0,3.645078,0,0,270,90.00001
37.92522,0,3.666946,0,0,270,90.00001
37.93782,0,3.689101,0,0,270,90.00001
37.95033,0,3.71109,0,0,270,90.00001
37.96296,0,3.733278,0,0,270,90.00001
37.97544,0,3.755232,0,0,270,90.00001
37.98783,0,3.777001,0,0,270,90.00001
38.00047,0,3.799223,0,0,270,90.00001
38.01303,0,3.821297,0,0,270,90.00001
38.02539,0,3.843025,0,0,270,90.00001
38.03791,0,3.865039,0,0,270,90.00001
38.0503,0,3.886812,0,0,270,90.00001
38.06294,0,3.909037,0,0,270,90.00001
38.07541,0,3.93096,0,0,270,90.00001
38.08791,0,3.952933,0,0,270,90.00001
38.10053,0,3.975112,0,0,270,90.00001
38.11301,0,3.997051,0,0,270,90.00001
38.12539,0,4.018813,0,0,270,90.00001
38.13808,0,4.041127,0,0,270,90.00001
38.1505,0,4.062953,0,0,270,90.00001
38.16315,0,4.085202,0,0,270,90.00001
38.17558,0,4.10704,0,0,270,90.00001
38.18803,0,4.128922,0,0,270,90.00001
38.20061,0,4.151049,0,0,270,90.00001
38.21308,0,4.172956,0,0,270,90.00001
38.22551,0,4.194813,0,0,270,90.00001
38.2382,0,4.217127,0,0,270,90.00001
38.25058,0,4.238875,0,0,270,90.00001
38.26315,0,4.260983,0,0,270,90.00001
38.27578,0,4.283185,0,0,270,90.00001
38.28808,0,4.304796,0,0,270,90.00001
38.30061,0,4.326828,0,0,270,90.00001
38.31325,0,4.34904,0,0,270,90.00001
38.32569,0,4.370908,0,0,270,90.00001
38.33816,0,4.392834,0,0,270,90.00001
38.35075,0,4.41497,0,0,270,90.00001
38.36325,0,4.43694,0,0,270,90.00001
38.37583,0,4.459053,0,0,270,90.00001
38.38811,0,4.48064,0,0,270,90.00001
38.40078,0,4.50291,0,0,270,90.00001
38.41327,0,4.524858,0,0,270,90.00001
38.42574,0,4.546793,0,0,270,90.00001
38.43836,0,4.568964,0,0,270,90.00001
38.45078,0,4.590805,0,0,270,90.00001
38.46331,0,4.612837,0,0,270,90.00001
38.47578,0,4.634759,0,0,270,90.00001
38.4883,0,4.656751,0,0,270,90.00001
38.50092,0,4.67894,0,0,270,90.00001
38.51334,0,4.70078,0,0,270,90.00001
38.52577,0,4.722621,0,0,270,90.00001
38.53844,0,4.744885,0,0,270,90.00001
38.55096,0,4.7669,0,0,270,90.00001
38.56342,0,4.7888,0,0,270,90.00001
38.57583,0,4.810622,0,0,270,90.00001
38.58826,0,4.832467,0,0,270,90.00001
38.60078,0,4.854483,0,0,270,90.00001
38.61351,0,4.876863,0,0,270,90.00001
38.62576,0,4.898389,0,0,270,90.00001
38.63842,0,4.92065,0,0,270,90.00001
38.65084,0,4.942487,0,0,270,90.00001
38.66341,0,4.964568,0,0,270,90.00001
38.67586,0,4.986459,0,0,270,90.00001
38.6883,0,5.00832,0,0,270,90.00001
38.70088,0,5.030439,0,0,270,90.00001
38.71344,0,5.052516,0,0,270,90.00001
38.72583,0,5.074306,0,0,270,90.00001
