time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
50.98259,0,2,0,0,270,90.00001
50.9957,0,2.016356,0,0,270,90.00001
51.00765,0,2.031277,0,0,270,90.00001
51.02005,0,2.046745,0,0,270,90.00001
51.03248,0,2.062257,0,0,270,90.00001
51.04492,0,2.077788,0,0,270,90.00001
51.05742,0,2.09338,0,0,270,90.00001
51.06987,0,2.108921,0,0,270,90.00001
51.08247,0,2.12464,0,0,270,90.00001
51.09493,0,2.140195,0,0,270,90.00001
51.10736,0,2.155703,0,0,270,90.00001
51.11995,0,2.171423,0,0,270,90.00001
51.13244,0,2.187006,0,0,270,90.00001
51.14497,0,2.202644,0,0,270,90.00001
51.15749,0,2.21827,0,0,270,90.00001
51.16993,0,2.233786,0,0,270,90.00001
51.18249,0,2.249461,0,0,270,90.00001
51.19508,0,2.265182,0,0,270,90.00001
51.20745,0,2.280614,0,0,270,90.00001
51.21988,0,2.296127,0,0,270,90.00001
51.23249,0,2.311858,0,0,270,90.00001
51.24506,0,2.327544,0,0,270,90.00001
51.25748,0,2.343047,0,0,270,90.00001
51.2699,0,2.358547,0,0,270,90.00001
51.28253,0,2.374314,0,0,270,90.00001
51.29518,0,2.390096,0,0,270,90.00001
51.30744,0,2.4054,0,0,270,90.00001
51.31999,0,2.421062,0,0,270,90.00001
51.33242,0,2.436574,0,0,270,90.00001
51.34509,0,2.452382,0,0,270,90.00001
51.35768,0,2.468098,0,0,270,90.00001
51.36993,0,2.483382,0,0,270,90.00001
51.38256,0,2.499139,0,0,270,90.00001
51.39505,0,2.514729,0,0,270,90.00001
51.40746,0,2.530217,0,0,270,90.00001
51.4201,0,2.545988,0,0,270,90.00001
51.43259,0,2.561573,0,0,270,90.00001
51.44492,0,2.576961,0,0,270,90.00001
51.45751,0,2.592675,0,0,270,90.00001
51.46992,0,2.608167,0,0,270,90.00001
51.48255,0,2.623923,0,0,270,90.00001
51.49508,0,2.639566,0,0,270,90.00001
51.50753,0,2.655105,0,0,270,90.00001
51.52002,0,2.67069,0,0,270,90.00001
51.5326,0,2.686394,0,0,270,90.00001
51.54493,0,2.70178,0,0,270,90.00001
51.55763,0,2.717628,0,0,270,90.00001
