time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
43.98191,0,2,0,0,270,90.00001
43.9946,0,2.015146,0,0,270,90.00001
44.00686,0,2.02979,0,0,270,90.00001
44.01911,0,2.04442,0,0,270,90.00001
44.03159,0,2.05933,0,0,270,90.00001
44.04413,0,2.074303,0,0,270,90.00001
44.05676,0,2.089383,0,0,270,90.00001
44.06911,0,2.10414,0,0,270,90.00001
44.08163,0,2.119087,0,0,270,90.00001
44.09416,0,2.134051,0,0,270,90.00001
44.10665,0,2.148961,0,0,270,90.00001
44.11921,0,2.163962,0,0,270,90.00001
44.13171,0,2.178891,0,0,270,90.00001
44.14419,0,2.193795,0,0,270,90.00001
44.15683,0,2.208887,0,0,270,90.00001
44.16922,0,2.223683,0,0,270,90.00001
44.18181,0,2.238726,0,0,270,90.00001
44.19431,0,2.253647,0,0,270,90.00001
44.20667,0,2.268414,0,0,270,90.00001
44.2193,0,2.283491,0,0,270,90.00001
44.23164,0,2.298229,0,0,270,90.00001
44.24424,0,2.313278,0,0,270,90.00001
44.25694,0,2.328439,0,0,270,90.00001
44.26925,0,2.343139,0,0,270,90.00001
44.28185,0,2.358192,0,0,270,90.00001
44.29442,0,2.373206,0,0,270,90.00001
44.30675,0,2.38793,0,0,270,90.00001
44.31934,0,2.402965,0,0,270,90.00001
44.33173,0,2.417765,0,0,270,90.00001
44.34442,0,2.432911,0,0,270,90.00001
44.35691,0,2.44783,0,0,270,90.00001
44.3694,0,2.462746,0,0,270,90.00001
44.38198,0,2.477765,0,0,270,90.00001
44.39449,0,2.492705,0,0,270,90.00001
44.40683,0,2.507453,0,0,270,90.00001
44.41943,0,2.522488,0,0,270,90.00001
44.43184,0,2.537311,0,0,270,90.00001
44.44447,0,2.5524,0,0,270,90.00001
44.45697,0,2.56733,0,0,270,90.00001
44.46949,0,2.582271,0,0,270,90.00001
44.48191,0,2.597111,0,0,270,90.00001
44.49458,0,2.612246,0,0,270,90.00001
44.50691,0,2.626966,0,0,270,90.00001
44.51948,0,2.641974,0,0,270,90.00001
44.53196,0,2.656883,0,0,270,90.00001
44.54447,0,2.671817,0,0,270,90.00001
44.55717,0,2.686982,0,0,270,90.00001
44.56938,0,2.701571,0,0,270,90.00001
44.58197,0,2.716602,0,0,270,90.00001
44.59452,0,2.731593,0,0,270,90.00001
44.60692,0,2.746404,0,0,270,90.00001
44.61961,0,2.761557,0,0,270,90.00001
44.63189,0,2.776217,0,0,270,90.00001
44.64439,0,2.791144,0,0,270,90.00001
44.65704,0,2.806255,0,0,270,90.00001
44.66947,0,2.8211,0,0,270,90.00001
44.68199,0,2.836049,0,0,270,90.00001
44.69451,0,2.850999,0,0,270,90.00001
44.70696,0,2.865875,0,0,270,90.00001
44.71938,0,2.880708,0,0,270,90.00001
44.73194,0,2.895707,0,0,270,90.00001
44.74448,0,2.910679,0,0,270,90.00001
44.75706,0,2.92571,0,0,270,90.00001
44.76948,0,2.940538,0,0,270,90.00001
44.78207,0,2.955566,0,0,270,90.00001
44.79458,0,2.970509,0,0,270,90.00001
44.80694,0,2.985268,0,0,270,90.00001
44.81948,0,3.000246,0,0,270,90.00001
44.83204,0,3.015239,0,0,270,90.00001
44.84455,0,3.030189,0,0,270,90.00001
44.8571,0,3.045172,0,0,270,90.00001
44.8696,0,3.060098,0,0,270,90.00001
44.88218,0,3.075122,0,0,270,90.00001
44.8947,0,3.090069,0,0,270,90.00001
44.90712,0,3.104913,0,0,270,90.00001
44.91959,0,3.119803,0,0,270,90.00001
44.93197,0,3.134583,0,0,270,90.00001
44.94462,0,3.149688,0,0,270,90.00001
44.95717,0,3.164684,0,0,270,90.00001
44.96956,0,3.179475,0,0,270,90.00001
44.98219,0,3.194561,0,0,270,90.00001
44.99462,0,3.209399,0,0,270,90.00001
45.00716,0,3.224376,0,0,270,90.00001
45.01975,0,3.239413,0,0,270,90.00001
45.03219,0,3.25427,0,0,270,90.00001
45.04479,0,3.26932,0,0,270,90.00001
45.05733,0,3.284297,0,0,270,90.00001
45.06958,0,3.298924,0,0,270,90.00001
45.0822,0,3.313991,0,0,270,90.00001
45.09478,0,3.329013,0,0,270,90.00001
45.10715,0,3.343795,0,0,270,90.00001
45.11964,0,3.358705,0,0,270,90.00001
45.13209,0,3.373569,0,0,270,90.00001
45.14473,0,3.388674,0,0,270,90.00001
45.15724,0,3.403612,0,0,270,90.00001
45.16966,0,3.418442,0,0,270,90.00001
45.18214,0,3.433351,0,0,270,90.00001
45.19477,0,3.44843,0,0,270,90.00001
45.20727,0,3.463359,0,0,270,90.00001
45.21965,0,3.478144,0,0,270,90.00001
45.23213,0,3.493048,0,0,270,90.00001
45.24471,0,3.508065,0,0,270,90.00001
45.25717,0,3.522944,0,0,270,90.00001
45.2697,0,3.53791,0,0,270,90.00001
45.28218,0,3.552811,0,0,270,90.00001
45.29489,0,3.56799,0,0,270,90.00001
45.30719,0,3.582681,0,0,270,90.00001
45.3198,0,3.597743,0,0,270,90.00001
45.33209,0,3.612419,0,0,270,90.00001
45.34472,0,3.627506,0,0,270,90.00001
45.35723,0,3.642446,0,0,270,90.00001
45.36967,0,3.657292,0,0,270,90.00001
45.38234,0,3.672433,0,0,270,90.00001
45.3947,0,3.687194,0,0,270,90.00001
45.4072,0,3.702116,0,0,270,90.00001
45.41979,0,3.717151,0,0,270,90.00001
45.4322,0,3.731974,0,0,270,90.00001
45.44481,0,3.747026,0,0,270,90.00001
45.45731,0,3.761953,0,0,270,90.00001
45.46971,0,3.776766,0,0,270,90.00001
45.48231,0,3.791819,0,0,270,90.00001
45.49495,0,3.806914,0,0,270,90.00001
45.50719,0,3.821535,0,0,270,90.00001
45.51981,0,3.836601,0,0,270,90.00001
45.53232,0,3.851542,0,0,270,90.00001
45.54483,0,3.866475,0,0,270,90.00001
45.55737,0,3.881448,0,0,270,90.00001
45.56975,0,3.896243,0,0,270,90.00001
45.58252,0,3.911486,0,0,270,90.00001
45.5949,0,3.926275,0,0,270,90.00001
45.60722,0,3.940985,0,0,270,90.00001
45.61985,0,3.956067,0,0,270,90.00001
45.63243,0,3.971094,0,0,270,90.00001
45.64494,0,3.986031,0,0,270,90.00001
45.65739,0,4.000905,0,0,270,90.00001
45.66982,0,4.015739,0,0,270,90.00001
45.68228,0,4.030626,0,0,270,90.00001
45.69489,0,4.045679,0,0,270,90.00001
45.70731,0,4.060511,0,0,270,90.00001
45.71986,0,4.075509,0,0,270,90.00001
45.73217,0,4.090205,0,0,270,90.00001
45.74512,0,4.10567,0,0,270,90.00001
45.75748,0,4.120425,0,0,270,90.00001
45.76981,0,4.135161,0,0,270,90.00001
45.78225,0,4.150012,0,0,270,90.00001
45.79473,0,4.164911,0,0,270,90.00001
45.80722,0,4.179835,0,0,270,90.00001
45.81984,0,4.194909,0,0,270,90.00001
45.83218,0,4.209644,0,0,270,90.00001
45.84474,0,4.224638,0,0,270,90.00001
45.85732,0,4.239658,0,0,270,90.00001
45.8698,0,4.254562,0,0,270,90.00001
45.88235,0,4.269555,0,0,270,90.00001
45.89487,0,4.284513,0,0,270,90.00001
45.90733,0,4.299388,0,0,270,90.00001
45.92002,0,4.314543,0,0,270,90.00001
45.93246,0,4.329399,0,0,270,90.00001
45.94479,0,4.344124,0,0,270,90.00001
45.95745,0,4.359241,0,0,270,90.00001
45.96979,0,4.373977,0,0,270,90.00001
45.98243,0,4.38908,0,0,270,90.00001
45.99494,0,4.404011,0,0,270,90.00001
46.00729,0,4.418768,0,0,270,90.00001
46.01985,0,4.433761,0,0,270,90.00001
46.03236,0,4.448696,0,0,270,90.00001
46.04488,0,4.463648,0,0,270,90.00001
46.05742,0,4.478628,0,0,270,90.00001
46.06985,0,4.49348,0,0,270,90.00001
46.08241,0,4.508472,0,0,270,90.00001
46.09492,0,4.523409,0,0,270,90.00001
46.1073,0,4.53819,0,0,270,90.00001
46.11995,0,4.5533,0,0,270,90.00001
46.13231,0,4.568066,0,0,270,90.00001
46.145,0,4.583213,0,0,270,90.00001
46.15746,0,4.598094,0,0,270,90.00001
46.16985,0,4.612895,0,0,270,90.00001
46.18246,0,4.627958,0,0,270,90.00001
46.1949,0,4.642811,0,0,270,90.00001
46.20737,0,4.657706,0,0,270,90.00001
46.21999,0,4.672781,0,0,270,90.00001
46.23242,0,4.687623,0,0,270,90.00001
46.24505,0,4.7027,0,0,270,90.00001
46.25749,0,4.717559,0,0,270,90.00001
46.26994,0,4.73243,0,0,270,90.00001
46.28259,0,4.747527,0,0,270,90.00001
46.29506,0,4.76242,0,0,270,90.00001
46.30738,0,4.777134,0,0,270,90.00001
46.31994,0,4.792138,0,0,270,90.00001
46.33243,0,4.807054,0,0,270,90.00001
46.34503,0,4.822097,0,0,270,90.00001
46.3575,0,4.836993,0,0,270,90.00001
46.36996,0,4.851868,0,0,270,90.00001
46.38258,0,4.866947,0,0,270,90.00001
46.39513,0,4.881933,0,0,270,90.00001
46.40761,0,4.896832,0,0,270,90.00001
46.41999,0,4.911619,0,0,270,90.00001
46.43246,0,4.926519,0,0,270,90.00001
46.44501,0,4.941505,0,0,270,90.00001
46.45749,0,4.956409,0,0,270,90.00001
46.46998,0,4.971318,0,0,270,90.00001
46.48256,0,4.986338,0,0,270,90.00001
46.49512,0,5.001347,0,0,270,90.00001
46.50744,0,5.016058,0,0,270,90.00001
46.52004,0,5.031102,0,0,270,90.00001
46.53257,0,5.046073,0,0,270,90.00001
46.54494,0,5.060836,0,0,270,90.00001
46.55751,0,5.075846,0,0,270,90.00001
46.56998,0,5.09075,0,0,270,90.00001
46.58253,0,5.10573,0,0,270,90.00001
46.59499,0,5.120615,0,0,270,90.00001
46.60744,0,5.135479,0,0,270,90.00001
46.62009,0,5.15059,0,0,270,90.00001
46.63266,0,5.165603,0,0,270,90.00001
46.64504,0,5.180378,0,0,270,90.00001
46.65758,0,5.195359,0,0,270,90.00001
46.66991,0,5.210088,0,0,270,90.00001
46.68254,0,5.225172,0,0,270,90.00001
46.69507,0,5.240131,0,0,270,90.00001
46.70745,0,5.254915,0,0,270,90.00001
46.71996,0,5.269856,0,0,270,90.00001
46.73244,0,5.284754,0,0,270,90.00001
46.74507,0,5.299836,0,0,270,90.00001
46.75755,0,5.314743,0,0,270,90.00001
46.76994,0,5.329535,0,0,270,90.00001
46.78251,0,5.344547,0,0,270,90.00001
46.79501,0,5.359481,0,0,270,90.00001
46.80751,0,5.374413,0,0,270,90.00001
46.81995,0,5.389266,0,0,270,90.00001
46.83253,0,5.404294,0,0,270,90.00001
46.84518,0,5.419393,0,0,270,90.00001
46.85756,0,5.434182,0,0,270,90.00001
46.87003,0,5.449066,0,0,270,90.00001
46.88253,0,5.463999,0,0,270,90.00001
46.89507,0,5.478968,0,0,270,90.00001
46.90759,0,5.493923,0,0,270,90.00001
46.92005,0,5.508803,0,0,270,90.00001
46.93251,0,5.523684,0,0,270,90.00001
46.94492,0,5.538509,0,0,270,90.00001
46.9575,0,5.553532,0,0,270,90.00001
46.96992,0,5.568361,0,0,270,90.00001
46.98266,0,5.58358,0,0,270,90.00001
46.99509,0,5.598418,0,0,270,90.00001
47.00746,0,5.613192,0,0,270,90.00001
47.02006,0,5.628242,0,0,270,90.00001
47.0325,0,5.643093,0,0,270,90.00001
47.04496,0,5.657979,0,0,270,90.00001
47.05751,0,5.672971,0,0,270,90.00001
47.06987,0,5.687726,0,0,270,90.00001
47.08249,0,5.702798,0,0,270,90.00001
47.09496,0,5.717694,0,0,270,90.00001
47.10741,0,5.732563,0,0,270,90.00001
47.12003,0,5.747626,0,0,270,90.00001
47.13266,0,5.762709,0,0,270,90.00001
47.145,0,5.777451,0,0,270,90.00001
47.15756,0,5.792445,0,0,270,90.00001
47.16996,0,5.807251,0,0,270,90.00001
47.18259,0,5.822342,0,0,270,90.00001
47.19501,0,5.837178,0,0,270,90.00001
47.20753,0,5.85212,0,0,270,90.00001
47.22002,0,5.867037,0,0,270,90.00001
47.23263,0,5.882097,0,0,270,90.00001
47.24498,0,5.89685,0,0,270,90.00001
47.25766,0,5.911994,0,0,270,90.00001
47.26997,0,5.926685,0,0,270,90.00001
47.28255,0,5.94171,0,0,270,90.00001
47.29516,0,5.956772,0,0,270,90.00001
47.30759,0,5.971615,0,0,270,90.00001
47.32003,0,5.98647,0,0,270,90.00001
47.33256,0,6.001438,0,0,270,90.00001
47.34502,0,6.016321,0,0,270,90.00001
47.35759,0,6.031332,0,0,270,90.00001
47.36998,0,6.046128,0,0,270,90.00001
47.38258,0,6.061173,0,0,270,90.00001
47.39503,0,6.076037,0,0,270,90.00001
47.40749,0,6.09092,0,0,270,90.00001
47.42009,0,6.105973,0,0,270,90.00001
47.4326,0,6.120914,0,0,270,90.00001
47.44507,0,6.1358,0,0,270,90.00001
47.45775,0,6.150947,0,0,270,90.00001
47.47007,0,6.165654,0,0,270,90.00001
47.48275,0,6.180803,0,0,270,90.00001
47.49521,0,6.195682,0,0,270,90.00001
47.5075,0,6.210353,0,0,270,90.00001
47.52003,0,6.225319,0,0,270,90.00001
47.53264,0,6.240382,0,0,270,90.00001
47.54504,0,6.255194,0,0,270,90.00001
47.55761,0,6.270203,0,0,270,90.00001
47.56993,0,6.284909,0,0,270,90.00001
47.58272,0,6.300188,0,0,270,90.00001
47.59507,0,6.314932,0,0,270,90.00001
47.60757,0,6.329861,0,0,270,90.00001
47.61996,0,6.344668,0,0,270,90.00001
47.63254,0,6.359686,0,0,270,90.00001
47.64519,0,6.374788,0,0,270,90.00001
47.65761,0,6.389627,0,0,270,90.00001
47.67,0,6.404418,0,0,270,90.00001
47.68251,0,6.419357,0,0,270,90.00001
47.69509,0,6.434382,0,0,270,90.00001
47.70756,0,6.449276,0,0,270,90.00001
47.72008,0,6.464227,0,0,270,90.00001
47.73257,0,6.479149,0,0,270,90.00001
47.74529,0,6.494326,0,0,270,90.00001
47.75761,0,6.509047,0,0,270,90.00001
47.76999,0,6.523834,0,0,270,90.00001
47.78251,0,6.538787,0,0,270,90.00001
47.79502,0,6.553725,0,0,270,90.00001
47.8075,0,6.568626,0,0,270,90.00001
47.82015,0,6.583734,0,0,270,90.00001
47.83259,0,6.598592,0,0,270,90.00001
47.84538,0,6.613862,0,0,270,90.00001
47.85759,0,6.628447,0,0,270,90.00001
47.86997,0,6.64323,0,0,270,90.00001
47.88265,0,6.658374,0,0,270,90.00001
47.89507,0,6.673202,0,0,270,90.00001
47.90751,0,6.688056,0,0,270,90.00001
47.92005,0,6.703039,0,0,270,90.00001
47.93258,0,6.718001,0,0,270,90.00001
47.94508,0,6.732928,0,0,270,90.00001
47.95764,0,6.747927,0,0,270,90.00001
47.97004,0,6.762739,0,0,270,90.00001
47.98265,0,6.7778,0,0,270,90.00001
47.99518,0,6.79276,0,0,270,90.00001
48.00759,0,6.807574,0,0,270,90.00001
48.02022,0,6.822663,0,0,270,90.00001
48.03268,0,6.837538,0,0,270,90.00001
48.04501,0,6.852263,0,0,270,90.00001
48.05761,0,6.867316,0,0,270,90.00001
48.07009,0,6.882215,0,0,270,90.00001
48.08248,0,6.897011,0,0,270,90.00001
48.09512,0,6.912105,0,0,270,90.00001
48.10758,0,6.926986,0,0,270,90.00001
48.12023,0,6.942097,0,0,270,90.00001
48.13268,0,6.956964,0,0,270,90.00001
48.14511,0,6.971816,0,0,270,90.00001
48.15776,0,6.986912,0,0,270,90.00001
48.17014,0,7.001696,0,0,270,90.00001
48.18262,0,7.016601,0,0,270,90.00001
48.19519,0,7.03161,0,0,270,90.00001
48.20762,0,7.046462,0,0,270,90.00001
48.22011,0,7.061378,0,0,270,90.00001
48.23274,0,7.076459,0,0,270,90.00001
48.24511,0,7.09123,0,0,270,90.00001
48.25761,0,7.106163,0,0,270,90.00001
48.27013,0,7.121106,0,0,270,90.00001
48.28273,0,7.136155,0,0,270,90.00001
48.29527,0,7.151133,0,0,270,90.00001
48.30761,0,7.165872,0,0,270,90.00001
48.32009,0,7.180777,0,0,270,90.00001
48.33267,0,7.195795,0,0,270,90.00001
48.3451,0,7.210637,0,0,270,90.00001
48.35775,0,7.225743,0,0,270,90.00001
48.37006,0,7.240448,0,0,270,90.00001
